cfg_id,phase,symbol,return_pct,pf,dd,calmar,trades,hit,halted,params
17,train,ETH/USD,154.93,1.923,-16.02,101.31,539,95.5,False,"{""sl_mode"": ""floor"", ""floor_sl_atr_mult"": 1.0, ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": true, ""leverage"": 3.0}"
17,train,AVAX/USD,141.9,1.83,-40.89,33.471,585,96.2,False,"{""sl_mode"": ""floor"", ""floor_sl_atr_mult"": 1.0, ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": true, ""leverage"": 3.0}"
17,train,LINK/USD,118.62,1.66,-25.54,38.345,554,96.6,False,"{""sl_mode"": ""floor"", ""floor_sl_atr_mult"": 1.0, ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": true, ""leverage"": 3.0}"
17,train,XRP/USD,74.02,1.328,-30.66,14.328,554,94.8,False,"{""sl_mode"": ""floor"", ""floor_sl_atr_mult"": 1.0, ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.0, ""directional_enabled"": true, ""leverage"": 3.0}"
18,train,SOL/USD,-12.98,0.081,-13.72,-2.514,7,71.4,True,"{""sl_mode"": ""floor"", ""floor_sl_atr_mult"": 1.0, ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.01, ""directional_enabled"": false, ""leverage"": 3.0}"
18,train,ETH/USD,182.42,2.004,-15.62,144.161,424,84.7,False,"{""sl_mode"": ""floor"", ""floor_sl_atr_mult"": 1.0, ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.01, ""directional_enabled"": false, ""leverage"": 3.0}"
18,train,AVAX/USD,187.71,2.169,-44.12,54.145,475,85.7,False,"{""sl_mode"": ""floor"", ""floor_sl_atr_mult"": 1.0, ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.01, ""directional_enabled"": false, ""leverage"": 3.0}"
18,train,LINK/USD,187.97,2.026,-18.88,126.918,450,84.7,False,"{""sl_mode"": ""floor"", ""floor_sl_atr_mult"": 1.0, ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.01, ""directional_enabled"": false, ""leverage"": 3.0}"
18,train,XRP/USD,68.38,1.27,-34.95,11.097,461,82.6,False,"{""sl_mode"": ""floor"", ""floor_sl_atr_mult"": 1.0, ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.01, ""directional_enabled"": false, ""leverage"": 3.0}"
19,train,SOL/USD,-14.26,0.075,-14.26,-2.621,8,62.5,True,"{""sl_mode"": ""floor"", ""floor_sl_atr_mult"": 1.0, ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.01, ""directional_enabled"": true, ""leverage"": 3.0}"
19,train,ETH/USD,176.96,1.982,-15.62,135.475,425,84.5,False,"{""sl_mode"": ""floor"", ""floor_sl_atr_mult"": 1.0, ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.01, ""directional_enabled"": true, ""leverage"": 3.0}"
19,train,AVAX/USD,180.73,2.134,-44.12,50.08,476,85.5,False,"{""sl_mode"": ""floor"", ""floor_sl_atr_mult"": 1.0, ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.01, ""directional_enabled"": true, ""leverage"": 3.0}"
19,train,LINK/USD,180.36,1.993,-18.88,116.578,451,84.5,False,"{""sl_mode"": ""floor"", ""floor_sl_atr_mult"": 1.0, ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.01, ""directional_enabled"": true, ""leverage"": 3.0}"
19,train,XRP/USD,65.74,1.262,-34.95,10.443,462,82.5,False,"{""sl_mode"": ""floor"", ""floor_sl_atr_mult"": 1.0, ""momentum_hold_max"": 0, ""trend_filter_enabled"": false, ""min_step_pct"": 0.01, ""directional_enabled"": true, ""leverage"": 3.0}"
20,train,SOL/USD,171.24,1.842,-15.11,131.024,549,97.3,False,"{""sl_mode"": ""floor"", ""floor_sl_atr_mult"": 1.0, ""momentum_hold_max"": 0, ""trend_filter_enabled"": true, ""min_step_pct"": 0.0, ""directional_enabled"": false, ""leverage"": 3.0}"
20,train,ETH/USD,188.62,2.183,-12.14,198.815,489,96.1,False,"{""sl_mode"": ""floor"", ""floor_sl_atr_mult"": 1.0, ""momentum_hold_max"": 0, ""trend_filter_enabled"": true, ""min_step_pct"": 0.0, ""directional_enabled"": false, ""leverage"": 3.0}"
20,train,AVAX/USD,186.77,2.282,-25.46,92.848,528,97.0,False,"{""sl_mode"": ""floor"", ""floor_sl_atr_mult"": 1.0, ""momentum_hold_max"": 0, ""trend_filter_enabled"": true, ""min_step_pct"": 0.0, ""directional_enabled"": false, ""leverage"": 3.0}"
20,train,LINK/USD,155.04,1.939,-21.47,75.668,508,97.0,False,"{""sl_mode"": ""floor"", ""floor_sl_atr_mult"": 1.0, ""momentum_hold_max"": 0, ""trend_filter_enabled"": true, ""min_step_pct"": 0.0, ""directional_enabled"": false, ""leverage"": 3.0}"
20,train,XRP/USD,141.43,1.714,-25.72,52.884,507,96.1,False,"{""sl_mode"": ""floor"", ""floor_sl_atr_mult"": 1.0, ""momentum_hold_max"": 0, ""trend_filter_enabled"": true, ""min_step_pct"": 0.0, ""directional_enabled"": false, ""leverage"": 3.0}"
21,train,SOL/USD,167.87,1.829,-15.11,125.894,550,97.1,False,"{""sl_mode"": ""floor"", ""floor_sl_atr_mult"": 1.0, ""momentum_hold_max"": 0, ""trend_filter_enabled"": true, ""min_step_pct"": 0.0, ""directional_enabled"": true, ""leverage"": 3.0}"
21,train,ETH/USD,182.13,2.152,-12.14,184.971,490,95.9,False,"{""sl_mode"": ""floor"", ""floor_sl_atr_mult"": 1.0, ""momentum_hold_max"": 0, ""trend_filter_enabled"": true, ""min_step_pct"": 0.0, ""directional_enabled"": true, ""leverage"": 3.0}"
